epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,536.791,0.34111,1.39422,0.87021,0.99767,0.99561,0.995,0.99441,0.181,1.32334,0.78156,0.000550054,0.000550054,0.000550054
2,990.036,0.26658,0.68407,0.82324,0.99784,1,0.995,0.97958,0.24739,0.6574,0.78629,0.00106923,0.00106923,0.00106923
3,1532.45,0.26412,0.51751,0.824,0.99949,1,0.995,0.98483,0.23345,0.45234,0.78449,0.00155174,0.00155174,0.00155174
4,2003.86,0.2367,0.41656,0.82122,0.99959,1,0.995,0.98929,0.20822,0.33842,0.782,0.00150197,0.00150197,0.00150197
5,2545.58,0.23337,0.371,0.81795,0.9987,1,0.995,0.98718,0.16877,0.30026,0.7791,0.00144696,0.00144696,0.00144696
6,2990.91,0.20992,0.32556,0.81485,0.9804,0.99449,0.99498,0.98966,0.15291,0.33945,0.77411,0.00139195,0.00139195,0.00139195
7,3444.43,0.20524,0.29122,0.81611,0.99967,1,0.995,0.99208,0.17251,0.21872,0.77678,0.00133693,0.00133693,0.00133693
8,3941.48,0.18393,0.25144,0.80845,0.99972,1,0.995,0.99355,0.11884,0.15825,0.77247,0.00128192,0.00128192,0.00128192
9,4439.78,0.17413,0.24623,0.81485,0.98831,0.99094,0.99498,0.99481,0.10961,0.20293,0.7736,0.00122691,0.00122691,0.00122691
10,4891.22,0.16885,0.23259,0.8074,0.99559,0.99759,0.995,0.9947,0.10943,0.17872,0.77314,0.0011719,0.0011719,0.0011719
11,5342.72,0.169,0.23644,0.81053,0.99962,1,0.995,0.995,0.11414,0.1575,0.7707,0.00111689,0.00111689,0.00111689
12,5823.92,0.16424,0.21967,0.80832,0.99938,1,0.995,0.995,0.11489,0.15348,0.77076,0.00106188,0.00106188,0.00106188
13,6283.41,0.14406,0.20192,0.80311,0.99953,1,0.995,0.99497,0.1006,0.13716,0.77053,0.00100687,0.00100687,0.00100687
14,8059.23,0.14571,0.19716,0.80943,0.99963,1,0.995,0.995,0.10664,0.13341,0.7703,0.000951857,0.000951857,0.000951857
15,15470.3,0.13759,0.18817,0.80709,0.99965,1,0.995,0.995,0.08103,0.11537,0.76867,0.000896846,0.000896846,0.000896846
16,16262.8,0.13141,0.17926,0.81029,0.99975,1,0.995,0.995,0.08254,0.10828,0.76847,0.000841835,0.000841835,0.000841835
17,17054.6,0.12877,0.17476,0.80757,0.99943,1,0.995,0.995,0.08657,0.11664,0.76948,0.000786824,0.000786824,0.000786824
18,17620.4,0.12097,0.16528,0.80862,0.99971,1,0.995,0.995,0.07614,0.10544,0.76801,0.000731813,0.000731813,0.000731813
19,23084.7,0.11492,0.15785,0.80394,0.99966,1,0.995,0.995,0.06991,0.10365,0.76747,0.000676802,0.000676802,0.000676802
20,23727,0.10736,0.15227,0.80522,0.9997,1,0.995,0.995,0.06801,0.0995,0.76851,0.000621791,0.000621791,0.000621791
21,25933.2,0.10365,0.13374,0.7601,0.99969,1,0.995,0.995,0.07678,0.1017,0.76851,0.00056678,0.00056678,0.00056678
22,26859.7,0.10489,0.13104,0.7695,0.99974,1,0.995,0.99467,0.08786,0.10815,0.76844,0.000511769,0.000511769,0.000511769
